/Users/marycarrigan/coding/morpho-0.2/morpho/whitebox/hh_diag.py:136: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:837.)
  tot += float(loss) * len(idx)
deriv ep1: whitened one-step MSE 1.840460
deriv ep2: whitened one-step MSE 0.087649
deriv ep3: whitened one-step MSE 0.043372
deriv ep4: whitened one-step MSE 0.022071
deriv ep5: whitened one-step MSE 0.018903
deriv ep6: whitened one-step MSE 0.016984
deriv ep7: whitened one-step MSE 0.013663
deriv ep8: whitened one-step MSE 0.012667
deriv ep9: whitened one-step MSE 0.008235
deriv ep10: whitened one-step MSE 0.007541
deriv ep11: whitened one-step MSE 0.007025
deriv ep12: whitened one-step MSE 0.005483
deriv ep13: whitened one-step MSE 0.004684
deriv ep14: whitened one-step MSE 0.003955
deriv ep15: whitened one-step MSE 0.003507
deriv ep16: whitened one-step MSE 0.003255
deriv ep17: whitened one-step MSE 0.002455
deriv ep18: whitened one-step MSE 0.002621
deriv ep19: whitened one-step MSE 0.002263
deriv ep20: whitened one-step MSE 0.001906
deriv ep21: whitened one-step MSE 0.001648
deriv ep22: whitened one-step MSE 0.063617
deriv ep23: whitened one-step MSE 0.001046
deriv ep24: whitened one-step MSE 0.000666
deriv ep25: whitened one-step MSE 0.000670
deriv ep26: whitened one-step MSE 0.000913
deriv ep27: whitened one-step MSE 0.001022
deriv ep28: whitened one-step MSE 0.000860
deriv ep29: whitened one-step MSE 0.000817
deriv ep30: whitened one-step MSE 0.001068
deriv ep31: whitened one-step MSE 0.000607
deriv ep32: whitened one-step MSE 0.000794
deriv ep33: whitened one-step MSE 0.000592
deriv ep34: whitened one-step MSE 0.000662
deriv ep35: whitened one-step MSE 0.000587
deriv ep36: whitened one-step MSE 0.000642
deriv ep37: whitened one-step MSE 0.000530
deriv ep38: whitened one-step MSE 0.000452
deriv ep39: whitened one-step MSE 0.000437
deriv ep40: whitened one-step MSE 0.018827
deriv ep41: whitened one-step MSE 0.000245
deriv ep42: whitened one-step MSE 0.000174
deriv ep43: whitened one-step MSE 0.000164
deriv ep44: whitened one-step MSE 0.000199
deriv ep45: whitened one-step MSE 0.000202
deriv ep46: whitened one-step MSE 0.000212
deriv ep47: whitened one-step MSE 0.000237
deriv ep48: whitened one-step MSE 0.000246
deriv ep49: whitened one-step MSE 0.000224
deriv ep50: whitened one-step MSE 0.000221
deriv ep51: whitened one-step MSE 0.000202
deriv ep52: whitened one-step MSE 0.000200
deriv ep53: whitened one-step MSE 0.000178
deriv ep54: whitened one-step MSE 0.000170
deriv ep55: whitened one-step MSE 0.000160
deriv ep56: whitened one-step MSE 0.000156
deriv ep57: whitened one-step MSE 0.000144
deriv ep58: whitened one-step MSE 0.000134
deriv ep59: whitened one-step MSE 0.000125
deriv ep60: whitened one-step MSE 0.000123
deriv ep61: whitened one-step MSE 0.000106
deriv ep62: whitened one-step MSE 0.000106
deriv ep63: whitened one-step MSE 0.000738
deriv ep64: whitened one-step MSE 0.000071
deriv ep65: whitened one-step MSE 0.000072
deriv ep66: whitened one-step MSE 0.000078
deriv ep67: whitened one-step MSE 0.000073
deriv ep68: whitened one-step MSE 0.000075
deriv ep69: whitened one-step MSE 0.000075
deriv ep70: whitened one-step MSE 0.000075
deriv ep71: whitened one-step MSE 0.000072
deriv ep72: whitened one-step MSE 0.000068
deriv ep73: whitened one-step MSE 0.000068
deriv ep74: whitened one-step MSE 0.000064
deriv ep75: whitened one-step MSE 0.000064
deriv ep76: whitened one-step MSE 0.000062
deriv ep77: whitened one-step MSE 0.000060
deriv ep78: whitened one-step MSE 0.000060
deriv ep79: whitened one-step MSE 0.000057
deriv ep80: whitened one-step MSE 0.000057
one-step RMSE (V,m,h,n): [0.0017099999822676182, 0.0014090000186115503, 0.00019700000120792538, 0.0001740000006975606]
one-step RMSE / target std: [0.008700000122189522, 0.006399999838322401, 0.003599999938160181, 0.0031999999191612005]
RESULT {"mode": "deriv", "one_step_rel": [0.008700000122189522, 0.006399999838322401, 0.003599999938160181, 0.0031999999191612005], "v_rmse_mv": 14.97, "spike_f1": 0.738, "fi_rmse_hz": 3.0, "rebound_spikes": 1}
